id,code,name,level,longitude,latitude
uetumkUQr5j,WAR-WAT-CTKL,Christ the King Clinic,5,-13.040920000000002,8.336389
yjlfBMt5yzU,BOM-MAC-CITL,City Garden Clinic,5,-12.035419,8.88856
Y4jPy4wX78C,WAU-EA2-COCM,Coconut Farm MCHP,5,-13.212750999999999,8.479777
KIXjdqlpcae,PLT-KAF-CONC,Conakry Dee CHC,5,-13.23764,8.697699
MSVZiXf1pOH,KON-NIM-CONP,Condama CHP,5,-11.20339,8.632064
wT041XU2Lic,WAU-CE2-CHEL,Connaught Chest Clinic,5,-13.237613,8.487924999999999
i8V7GhCWPUw,WAU-CE2-CONH,Connaught Hospital,5,-13.2382,8.4883
qmsuX8OEqru,WAR-KOY-CROM,Crossing MCHP,5,-12.97098,8.357821999999999
u8B4Cdz0uYN,WAU-WE1-CUPL,Cupid Health Centre Clinic,5,-13.244430999999999,8.485738999999999
XrpU4P1zPZ7,KOI-DIA-DALP,Dalakuru CHP,5,-11.530453999999999,9.193026
pqxZKMCwCKg,KEN-NOM-DAMM,Damabara MCHP,5,-10.895188,7.526834999999999
T0Hx20wwR7A,BOO-SEL-DAMC,Damballa CHC,5,-11.703633,8.120852
h0ZlvdMpmvw,KAI-NJA-DAMM,Dambu CHC,5,-10.90151,7.975873999999999
uVcwmsFDMkQ,PUJ-KPN-DANP,Dandabu CHP,5,-11.68509,7.4774519999999995
YvbUdeQOVPV,TON-SAM-DANP,Dankawalia CHP,5,-11.60712,8.92181
A1zGIPUnnJp,FAL-KAM-DANM,Dankawalie CHC,5,-11.331541999999999,9.629802
EQJc6JwbbGS,KAI-JAW-DARC,Daru CHC,5,-10.844451999999999,7.990142
FnFBg8bGCua,KAI-NJA-DARL,Daru Field Hospital Clinic,5,-10.940940000000001,7.995869
PCdZzUna8ag,BOO-BOC-DAMSH,Dasse Advance Medical Services Hospital,5,-11.75899,7.958381999999999
qdDShjKIhU5,WAU-WE3-DNMH,Davidson Nicol Medical Centre Hospital,5,-13.274033,8.467065999999999
ZitQ9nmA2xP,KAI-KIS-DAWP,Dawa CHP,5,-10.316894,8.259344
eB2eNXT6qnP,WAU-WE1-DAKL,Day Krim Clinic,5,-13.243053,8.483561
EfIojmTFuRm,WAR-WAT-DEEM,Deep Eye Water MCHP,5,-13.08205,8.357889
FgguFREIXgZ,KEN-KEC-DEGM,Degbuama MCHP,5,-11.20625,7.863150999999999
vOOMzv3VBZH,FAL-DEL-DELM,Deldu Kamaron MCHP,5,-10.661710000000001,9.287524999999999
h8dN05s1BdV,BON-SIT-DELM,Delken CHC,5,-12.752500000000001,7.619800000000001
JNN6QPNREHh,KAI-KIK-DIAC,Dia CHC,5,-10.409313,8.384813
DPnf9SWiBLl,KEN-DAM-DIIM,Diamei MCHP,5,-11.14334,7.727395
bslloNGrbyj,KOI-DIA-DIAM,Diang Kamaron MCHP,5,-11.495885,9.310183
GBLOKwkfPHO,KOI-DIA-DISM,Diang Sokurala MCHP,5,-11.511978,9.36041
T2hTxiQP7sM,KAM-MAG-DIBP,Dibia CHP,5,-12.847180000000002,9.075218
gunpwAqzlEF,KEN-KAN-DEIM,Diema MCHP,5,-11.259381999999999,7.97801
Z1Nrd5XJywS,KEN-KEC-DAOD,Direct Aid Orphanage (Kenema City) Clinic,5,-11.201927,7.861533
iEToXAap6PS,PLT-KAF-DAOL,Direct Aid Orphanage (Port Loko) Clinic,5,-13.168681,8.593993
ojIxXvG6UF7,KEN-DOD-DODC,Dodo CHC,5,-11.17378,8.151990000000001
sOuF0Ayu7Rv,KAI-LUA-DODP,Dodo-Kortuma CHP,5,-10.416310000000001,8.253344
RLx3p2IAccA,FAL-DEM-DOGP,Dogoloya CHP,5,-11.553370000000001,9.709337999999999
ZO2gDCNPHW3,KAR-TAY-DUMP,Dombaya CHP,5,-12.26167,9.882107999999999
IP65xigcb2Q,WAU-WE2-DBFL,Don Bosco Fambul Clinic,5,-13.234978,8.482370999999999
u4J0pD6SfM3,KEN-SMA-DOUP,Doujo CHP,5,-11.41449,7.809743999999999
bJa0yZUne25,WAU-CE2-AWRL,Dr ADO Wright Clinic,5,-13.236146999999999,8.483481
mKtst3QV7yE,WAU-CE2-AGAL,Dr Asale Ganda Clinic,5,-13.2317,8.490300000000001
zl0ppGCURM2,WAU-WE1-CCOL,Dr Claudius Cole Clinic,5,-13.242040999999999,8.481983999999999
cb0kCJxQTOE,WAU-WE3-DRCL,Dr DJO Robin-Coker Clinic,5,-13.261623,8.475991
XxusyU8ARDr,WAU-WE2-DBTL,Dr Daniel Bash Taqi Clinic,5,-13.236924,8.476887
YNs8nqKl38i,WAU-CE1-DHAL,Dr Donald Harding Clinic,5,-13.234093,8.487487
gcNQjyR56iv,WAU-CE1-DTHL,Dr Dunstan Thomas Clinic,5,-13.229797,8.482993
I8OSsz3mAzs,WAU-CE2-EGOL,Dr Effie Gooding Clinic,5,-13.237541,8.484299
rAlREkXkBow,WAU-CE2-FWHL,Dr Frazer Whitfield Clinic,5,-13.236633999999999,8.484077
hlIA7wQdLqg,WAU-CE1-HHAL,Dr Hassan Hariri Clinic,5,-13.233687999999999,8.489946
PGFP4Zr9Fy8,WAU-CE2-HFOL,Dr Isatou Hyde-Forster Clinic,5,-13.233687,8.489948
MYboByZ60qM,WAU-CE2-JRUL,Dr J Russel Clinic,5,-13.238048,8.487254
vxfZlh0HtpF,WAU-CE2-KNIL,Dr Kelvin Nicolls Clinic,5,-13.236790000000001,8.484283
KXMrRHvC0bK,WAU-CE2-LHAL,Dr Len-Gordon Harris Clinic,5,-13.236148,8.483481
bqt0F3zLXCy,WAU-CE2-PCOL,Dr Patrick Coker Clinic,5,-13.236789,8.486657
ckuPz1wJidy,WAU-CE2-SMLL,Dr Shuman Medical Clinic and Laboratory,5,-13.232317,8.489768999999999
xr5BQA5r4BE,WAU-EA2-SWIL,Dr Songo Williams Clinic,5,-13.219982,8.484923
EdcNJid6ATD,WAU-CE2-DRTL,Dr Taquis Clinic,5,-13.236806999999999,8.485198
MR3gXXTmIqM,WAU-CE2-VWIL,Dr VR Willoughby Clinic,5,-13.233687999999999,8.489946
yI3v9Lyrqts,WAU-CE2-DRTH,Dr Victor Willoughby Memorial Hospital,5,-13.234228,8.490675999999999
t92GLhMY66o,PUJ-MAK-DUMM,Dumagbe MCHP,5,-11.404753,7.253385
lZPJvbJCWQ6,KON-SAN-DUNP,Dunamor CHP,5,-11.068,9.0434
ndb3KReiVqI,FAL-KUL-DURM,Durukoro MCHP,5,-10.727950000000002,9.012963
irWqaop88lY,BOO-BOC-EDCP,EDC Unit CHP,5,-11.74633,7.963667999999999
ivrJCTIHHIj,WAU-WE2-EPIP,EPI Headquarter (New England) CHP,5,-13.241641999999999,8.470086
iwg13ybsstr,WAU-WE2-ECOL,EcoMed Medical Centre Clinic,5,-13.245512,8.471903
zcPCk05oJmb,WAU-EA3-EDEH,Edemsil Hospital,5,-13.206534,8.482526
Wodb8F52Q66,BOO-KAK-EGYL,Egyptian (Bo) Clinic,5,-11.671254,7.976855
l13MQFzZ13i,KEN-KEC-EGYD,Egyptian (Kenema City) Clinic,5,-11.192259,7.880101
pg3axCSRe2G,KON-KOC-EGYL,Egyptian (Koidu) Clinic,5,-10.968385,8.645619
IYkid98MQKM,KAI-PEW-ELSL,El-Shaddai (Peje West) Clinic,5,-10.851892,8.1668
PewiIXuGYZA,WAR-WAT-ELSL,El-Shaddai (Waterloo Rural) Clinic,5,-13.095650000000001,8.387402999999999
hjsDPa4J4st,WAR-YOR-EMEH,Emergency (Goderich) Hospital,5,-13.276525999999999,8.424501
tkgn76jJbky,KEN-KEC-ENSL,Ensah Foundation Clinic,5,-11.194682,7.873816
T4bSZFPSg9u,PLT-PLC-EBKL,Ernest Bai Koroma University (EBK-PL) Clinic,5,-12.791478,8.777477
JdXvuZ51cp8,WAU-EA3-EFHL,Esther Faith Healing CHP,5,-13.209468,8.473415
lN4n293F3Sj,WAR-WAT-EVAL,Evangelical College of Theology Clinic,5,-13.136007,8.402538999999999
o35wlBvKd8F,WAU-EA3-ELUL,Evangelical Lutheran CHP,5,-13.263971,8.485152
gmSNs9zD84u,PLT-KAF-EVAC,Evans CHC,5,-13.187714,8.637304
HHWG6nob0O2,BOO-BAO-FAAP,Faabu CHP,5,-11.54377,7.856528999999999
iPxW0s6dqPP,KEN-WAN-FAAP,Faala CHP,5,-11.381780000000001,8.286285
uZE16EHCFtl,KEN-NOM-NOMP,Faama CHC,5,-10.996725,7.524687999999999
Q1fvYnINAZN,KOI-KAK-FADC,Fadugu CHC,5,-11.765070000000001,9.3902
FWIyA3KMv8F,PUJ-SOR-FAIC,Fairo CHC,5,-11.4045,7.088054
OOIlXmbBdlM,FAL-SUL-FALC,Falaba CHC,5,-11.3208,9.8571
Y5nfoNjuzA8,PUJ-PER-FALP,Falaba CHP,5,-11.5289,7.4203
SnKH1Qg9ZZx,MOY-FAK-FALM,Falaba MCHP,5,-12.379520000000001,8.21104
zOOrk5qMJJS,WAU-WE3-FAMP,Family CHP,5,-13.270560000000001,8.462356
WtN3ZQGwuCQ,WAU-EA3-FAMP,Family Home Movement CHP,5,-13.171190000000001,8.428984999999999
zvIQUXgTAk6,PUJ-SOR-FANP,Fanima (Soro) CHP,5,-11.484300000000001,7.238415
Urtet1JUeKP,BOO-WON-FANM,Fanima (Wonde) MCHP,5,-11.52768,7.701980000000001
IBycyE3vUcT,KOI-NIE-FANP,Fankoya CHP,5,-11.278920000000001,8.962503
pPQ2cv8A0FB,WAU-CE1-FACL,Farm Care Clinic,5,-13.23027,8.486592
GVAOzCFjCHP,BOO-BOC-FAVM,Favour MCHP,5,-11.719790999999999,7.943290999999999
BJrkl6IHLLc,KEN-TUN-FAYP,Fayiema CHP,5,-11.184420999999999,7.643197
EdB5mJiCPil,BOO-LUG-FEIP,Feiba CHP,5,-11.92181,7.682170000000001
sUzJ5pX4euk,KON-GBA-FEMP,Fembedu CHP,5,-10.831914999999999,8.497519
uSb2BXWaKAE,BOO-KAK-FENM,Fengehun CHP,5,-11.593470000000002,7.977728
yNmSWFA2EmE,KON-SAN-FENM,Fensedu MCHP,5,-11.095822,8.850916999999999
TZt3p3RTJk2,MOY-RIB-FERP,Ferry CHP,5,-12.82239,8.393220000000001
iuvg1n7vpnx,KON-SOA-FEUM,Feuror MCHP,5,-10.6418,8.592445
lETWnnnlF64,KAR-TAY-FINC,Fintonia CHC,5,-12.225781999999999,9.672891
ahft5p8IDFA,FAL-BAR-FIRP,Firawa CHC,5,-11.299325,9.359413
jm7NSJjQ6Y1,KON-LEI-FOAM,Foakor MCHP,5,-10.629978,8.763956
vXf3glI3R0F,KAI-MAL-FOBP,Fobu CHP,5,-10.65606,7.8636029999999995
c56XrXhN84P,KAM-DIX-FODM,Fodaya MCHP,5,-12.94096,9.277636
avGDbZmpdos,MOY-KOR-FOGP,Fogbo (Kori) MCHP,5,-12.032960000000001,8.296361
zUBns3oLcRc,WAR-KOY-FOGM,Fogbo (Koya Rural) MCHP,5,-12.982116999999999,8.268675
VT9707TFH0S,KAI-KIK-FOIP,Foidu CHP,5,-10.38583,8.472987999999999
JUJPn9mKhP6,BOO-BAO-FOIM,Foindu (Baoma) MCHP,5,-11.394340000000001,7.9745029999999995
vzdZLAuKkFz,KON-GBA-FOIP,Foindu (Gbane) CHP,5,-10.797590000000001,8.411877
E9t9n6Kqcfc,KEN-LOW-FOIP,Foindu (Lower Bambara) CHC,5,-11.06154,8.100368999999999
spMFETul6jD,TON-YMM-FOIM,Foindu (Yoni Mamala) MCHP,5,-12.071273,8.317986
HpBQcPODdoU,KON-SOA-FOIP,Foindu Mongor CHP,5,-10.6522,8.5615
iuRKJN3UpTQ,KAI-NJA-FOLM,Follah MCHP,5,-10.985790000000001,7.974291999999999
ecUVi3ZlLVy,KEN-GOR-FOMP,Fomaya CHP,5,-11.517622,8.471300000000001
